,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
273,Rio Grande,BR,-32.035,-52.0986,75.31,83,45,8.63,scattered clouds
274,Sinnamary,GF,5.3833,-52.95,81.37,75,57,5.37,broken clouds
275,Atbasar,KZ,51.8,68.3333,63.14,65,0,8.05,clear sky
276,Sibut,CF,5.718,19.0739,72.57,89,100,4.07,light rain
277,Minsk,BY,53.9,27.5667,73.15,58,55,2.68,broken clouds
278,Hakkari,TR,37.5833,44.1667,67.51,40,0,3.42,clear sky
279,Souillac,MU,-20.5167,57.5167,70.36,64,20,12.66,few clouds
280,Pascagoula,US,30.3658,-88.5561,91.42,86,90,5.75,overcast clouds
281,Devils Lake,US,48.1128,-98.8651,87.91,26,1,5.75,clear sky
282,Vila Velha,BR,-20.3297,-40.2925,77.97,55,40,9.22,scattered clouds
283,Katsuura,JP,35.1333,140.3,81.1,86,29,11.12,scattered clouds
284,Mollendo,PE,-17.0231,-72.0147,62.13,80,55,8.21,broken clouds
285,Xining,CN,36.6167,101.7667,56.84,88,100,3.89,overcast clouds
286,Tecoanapa,MX,16.5167,-98.75,86.45,68,88,10.18,overcast clouds
287,Kargasok,RU,59.0556,80.8572,63.32,83,92,4.74,overcast clouds
288,Amapa,BR,1.0,-52.0,82.9,76,100,2.98,overcast clouds
289,Hamilton,US,39.1834,-84.5333,90.91,67,75,3.0,broken clouds
290,Nara,JP,34.6851,135.8049,80.26,94,11,2.33,few clouds
291,Isangel,VU,-19.55,169.2667,74.89,87,100,12.01,overcast clouds
292,Shingu,JP,33.7333,135.9833,74.91,81,0,5.01,clear sky
293,Guarapari,BR,-20.6667,-40.4975,77.92,61,0,13.85,clear sky
294,Hobyo,SO,5.3505,48.5268,77.04,74,49,24.94,scattered clouds
295,Thai Nguyen,VN,21.5928,105.8442,82.18,90,59,2.93,broken clouds
296,Sitka,US,57.0531,-135.33,57.09,82,75,3.44,light rain
